days,<TIME>,<OPEN>
1011,10,13570.65
1011,11,13587.22
1011,12,13575.23
1011,13,13588.34
1011,14,13580.45
1011,15,13580.1
1011,16,13587.39
1011,18,13583.65
1012,1,13583.65
1012,9,13583.0
1012,10,13568.85
1012,11,13515.22
1012,12,13494.59
1012,13,13494.06
1012,14,13502.21
1012,15,13505.18
1012,16,13475.72
1012,18,13473.53
1013,1,13473.53
1013,9,13473.57
1013,10,13421.35
1013,11,13428.66
1013,12,13398.48
1013,13,13371.22
1013,14,13346.86
1013,15,13348.64
1013,16,13343.17
1013,18,13344.97
1014,1,13344.97
1014,9,13346.24
1014,10,13380.2
1014,11,13417.22
1014,12,13368.63
1014,13,13381.52
1014,14,13352.0
1014,15,13344.58
1014,16,13330.51
1014,18,13326.39
1015,1,13326.39
1015,9,13325.62
1015,10,13386.6
1015,11,13368.49
1015,12,13313.64
1015,13,13314.83
1015,14,13317.0
1015,15,13328.9
1015,16,13332.11
1015,18,13328.85
1016,1,13328.85
1016,18,13328.85
1017,1,13328.85
1017,18,13328.85
1018,1,13328.85
1018,9,13329.58
1018,10,13341.69
1018,11,13342.15
1018,12,13387.52
1018,13,13415.05
1018,14,13420.09
1018,15,13406.39
1018,16,13428.16
1018,18,13424.23
1019,1,13424.23
1019,9,13423.84
1019,10,13522.5
1019,11,13541.43
1019,12,13545.36
1019,13,13541.62
1019,14,13549.92
1019,15,13535.86
1019,16,13547.43
1019,18,13551.78
1020,1,13551.78
1020,9,13539.63
1020,10,13540.53
1020,11,13547.14
1020,12,13544.95
1020,13,13541.77
1020,14,13521.84
1020,15,13548.6
1020,16,13551.57
1020,18,13557.0
1021,1,13557.0
1021,9,13553.28
1021,10,13556.22
1021,11,13557.95
1021,12,13579.06
1021,13,13551.98
1021,14,13530.7
1021,15,13533.57
1021,16,13546.1
1022,1,13548.94
1022,9,13545.33
1022,10,13464.54
1022,11,13446.74
1022,12,13398.83
1022,13,13382.21
1022,14,13343.06
1022,15,13339.6
1022,16,13343.38
1023,1,13343.51
1024,1,13343.51
1025,1,13343.51
1025,9,13344.21
1025,10,13335.05
1025,11,13329.86
1025,12,13325.43
1025,13,13304.12
1025,14,13262.34
1025,15,13256.0
1025,16,13341.39
1026,1,13345.89
1026,9,13344.86
1026,10,13167.07
1026,11,13111.99
1026,12,13102.49
1026,13,13119.17
1026,14,13131.32
1026,15,13146.01
1026,16,13111.09
1026,18,13102.53
1027,1,13102.53
1027,9,13103.53
1027,10,13132.36
1027,11,13145.24
1027,12,13111.9
1027,13,13130.73
1027,14,13118.7
1027,15,13102.62
1027,16,13078.95
1027,18,13077.34
1028,1,13077.34
1028,9,13079.61
1028,10,13151.46
1028,11,13112.65
1028,12,13064.62
1028,13,13086.82
1028,14,13084.61
1028,15,13081.51
1028,16,13102.1
1028,18,13103.68
1029,1,13103.68
1029,9,13104.22
1029,10,13089.88
1029,11,13068.32
1029,12,13073.4
1029,13,13081.88
1029,14,13101.0
1029,15,13113.67
1029,16,13104.82
1029,18,13107.21
1030,1,13107.21
1030,18,13107.21
1030,21,13107.21
1031,1,13107.21
1031,18,13107.21
1032,1,13107.21
1032,18,13107.21
1033,1,13107.21
1033,16,13107.21
1033,18,13107.21
1034,1,13107.21
1034,9,13107.44
1034,10,13168.69
1034,11,13124.04
1034,12,13093.07
1034,13,13070.76
1034,14,13072.71
1034,15,13081.34
1034,16,13099.85
1034,18,13096.46
1035,1,13096.46
1035,9,13099.15
1035,10,13222.3
1035,11,13256.29
1035,12,13239.26
1035,13,13217.96
1035,14,13212.75
1035,15,13229.03
1035,16,13221.92
1035,18,13232.62
1036,1,13232.62
1036,9,13233.39
1036,10,13235.36
1036,11,13190.69
1036,12,13197.65
1036,13,13194.19
1036,14,13162.79
1036,15,13124.46
1036,16,13100.94
1036,18,13093.16
1037,1,13093.16
1037,18,13093.16
1037,21,13093.16
1038,2,13093.16
1038,18,13093.16
1039,1,13093.16
1039,10,13092.32
1039,11,13058.82
1039,12,13087.27
1039,13,13078.8
1039,14,13061.66
1039,15,13080.19
1039,16,13096.29
1039,17,13112.67
1039,18,13112.44
1040,1,13112.44
1040,10,13113.93
1040,11,13191.06
1040,12,13194.96
1040,13,13266.91
1040,14,13259.42
1040,15,13268.91
1040,16,13254.61
1040,17,13235.52
1040,18,13245.68
1041,1,13245.68
1041,10,13228.28
1041,11,13052.49
1041,12,12947.07
1041,13,12933.83
1041,14,12949.69
1041,15,12976.49
1041,16,12981.85
1041,17,12942.18
1041,18,12932.73
1042,1,12932.73
1042,10,12932.81
1042,11,12959.01
1042,12,12907.51
1042,13,12914.14
1042,14,12882.48
1042,15,12887.18
1042,16,12876.52
1042,17,12821.19
1042,18,12811.32
1043,1,12811.32
1043,10,12811.17
1043,11,12783.12
1043,12,12831.29
1043,13,12858.38
1043,14,12875.34
1043,15,12819.91
1043,16,12822.61
1043,17,12807.93
1043,18,12815.39
1044,1,12815.39
1044,18,12815.39
1044,21,12815.39
1045,1,12815.39
1045,18,12815.39
1046,1,12815.39
1046,10,12815.93
1046,11,12830.37
1046,12,12793.0
1046,13,12792.69
1046,14,12830.86
1046,15,12844.9
1046,16,12830.03
1046,17,12818.52
1046,18,12815.08
1047,1,12815.08
1047,10,12808.81
1047,11,12833.4
1047,12,12882.71
1047,13,12869.72
1047,14,12841.06
1047,15,12857.02
1047,16,12830.21
1047,17,12759.57
1047,18,12756.18
1048,1,12756.18
1048,10,12746.52
1048,11,12751.97
1048,12,12675.33
1048,13,12708.21
1048,14,12667.73
1048,15,12693.34
1048,16,12637.09
1048,17,12567.42
1048,18,12570.95
1049,1,12570.95
1049,10,12571.14
1049,11,12543.77
1049,12,12543.09
1049,13,12516.12
1049,14,12517.95
1049,15,12565.7
1049,16,12539.63
1049,17,12551.26
1049,18,12542.38
1050,1,12542.38
1050,10,12542.35
1050,11,12518.8
1050,12,12517.3
1050,13,12581.23
1050,14,12569.77
1050,15,12579.9
1050,16,12558.91
1050,17,12594.77
1050,18,12588.31
1051,1,12588.31
1051,18,12588.31
1051,21,12588.31
1052,1,12588.31
1052,18,12588.31
1053,1,12588.31
1053,10,12590.23
1053,11,12736.8
1053,12,12743.39
1053,13,12749.49
1053,14,12756.52
1053,15,12748.16
1053,16,12769.39
1053,17,12789.04
1053,18,12795.96
1054,1,12795.96
1054,4,12795.96
1054,10,12791.01
1054,11,12754.47
1054,12,12767.22
1054,13,12804.39
1054,14,12786.9
1054,15,12743.88
1054,16,12751.7
1054,17,12783.74
1054,18,12788.51
1055,1,12788.51
1055,10,12788.36
1055,11,12829.72
1055,12,12810.39
1055,13,12818.07
1055,14,12837.42
1055,15,12842.17
1055,16,12833.09
1055,17,12834.58
1055,18,12836.89
1056,1,12836.89
1056,18,12836.89
1057,1,12836.89
1057,10,12833.06
1057,11,12905.74
1057,12,12947.37
1057,13,12938.87
1057,14,12999.63
1057,18,13009.68
1058,1,13009.68
1058,18,13009.68
1058,21,13009.68
1059,1,13009.68
1059,18,13009.68
1060,1,13009.68
1060,10,13008.3
1060,11,12941.59
1060,12,12924.16
1060,13,12921.43
1060,14,12939.66
1060,15,12935.55
1060,16,12949.48
1060,17,12962.93
1060,18,12967.37
1061,1,12967.37
1061,10,12963.42
1061,11,12974.5
1061,12,12923.59
1061,13,12964.38
1061,14,12949.68
1061,15,12930.98
1061,16,12903.99
1061,17,12874.32
1061,18,12878.13
1062,1,12878.13
1062,10,12875.6
1062,11,12812.28
1062,12,12870.05
1062,13,12894.91
1062,14,12957.52
1062,15,12955.58
1062,16,12950.98
1062,17,12984.72
1062,18,12985.11
1063,1,12985.11
1063,10,12977.35
1063,11,13044.16
1063,12,13031.12
1063,13,12980.37
1063,14,13008.87
1063,15,13037.14
1063,16,13032.97
1063,17,13021.28
1063,18,13021.82
1064,1,13021.82
1064,10,13021.97
1064,11,13035.97
1064,12,13019.62
1064,13,13000.56
1064,14,12998.31
1064,15,13010.41
1064,16,12996.96
1064,17,13034.19
1064,18,13025.58
1065,1,13025.58
1065,18,13025.58
1065,21,13025.58
1066,1,13025.58
1066,18,13025.58
1067,1,13025.58
1067,10,13027.69
1067,11,13049.6
1067,12,12993.69
1067,13,13015.21
1067,14,13008.5
1067,15,12986.04
1067,16,12981.13
1067,17,12963.97
1067,18,12965.6
1068,1,12965.6
1068,10,12966.41
1068,11,12994.08
1068,12,12983.98
1068,13,12981.47
1068,14,12960.79
1068,15,12975.52
1068,16,12963.96
1068,17,12955.99
1068,18,12951.78
1069,1,12951.78
1069,10,12949.04
1069,11,12987.16
1069,12,12936.93
1069,13,13047.24
1069,14,13077.78
1069,15,13057.92
1069,16,13061.42
1069,17,13025.22
1069,18,13034.49
1070,1,13034.49
1070,10,13026.19
1070,11,13031.11
1070,12,13049.69
1070,13,13041.3
1070,14,13022.04
1070,15,13046.02
1070,16,13049.14
1070,17,13070.66
1070,18,13074.04
1071,1,13074.04
1071,10,13072.95
1071,11,13109.66
1071,12,13100.13
1071,13,13102.96
1071,14,13119.37
1071,15,13123.71
1071,16,13133.91
1071,17,13153.94
1071,18,13155.13
1072,1,13155.13
1072,18,13155.13
1072,21,13155.13
1073,1,13155.13
1073,18,13155.13
1074,1,13155.13
1074,10,13152.81
1074,11,13175.21
1074,12,13193.1
1074,13,13180.52
1074,14,13185.29
1074,15,13171.95
1074,16,13180.49
1074,17,13171.32
1074,18,13169.88
1075,1,13169.88
1075,10,13170.38
1075,11,13249.35
1075,12,13273.43
1075,13,13280.08
1075,14,13281.4
1075,15,13278.07
1075,16,13252.28
1075,17,13245.57
1075,18,13248.44
1076,1,13248.44
1076,10,13250.02
1076,11,13284.86
1076,12,13263.44
1076,13,13252.61
1076,14,13310.26
1076,15,13314.0
1076,16,13287.48
1076,17,13240.92
1076,18,13245.45
1077,1,13245.45
1077,3,13245.45
1077,10,13241.53
1077,11,13248.96
1077,12,13234.92
1077,13,13218.4
1077,14,13190.0
1077,15,13181.58
1077,16,13163.46
1077,17,13169.45
1077,18,13170.72
1078,1,13170.72
1078,10,13170.84
1078,11,13163.45
1078,12,13177.08
1078,13,13152.44
1078,14,13161.0
1078,15,13167.31
1078,16,13131.16
1078,17,13126.98
1078,18,13135.01
1079,1,13135.01
1079,18,13135.01
1079,21,13135.01
1080,1,13135.01
1080,18,13135.01
1081,1,13135.01
1081,10,13135.21
1081,11,13201.76
1081,12,13185.49
1081,13,13211.37
1081,14,13213.29
1081,15,13191.55
1081,16,13192.84
1081,17,13238.79
1081,18,13235.39
1082,1,13235.39
1082,10,13236.61
1082,11,13239.88
1082,12,13291.24
1082,13,13308.39
1082,14,13354.91
1082,15,13343.66
1082,16,13333.73
1082,17,13349.93
1082,18,13350.96
1083,1,13350.96
1083,10,13351.04
1083,11,13335.62
1083,12,13336.02
1083,13,13337.74
1083,14,13341.79
1083,15,13333.43
1083,16,13292.33
1083,17,13254.17
1083,18,13251.97
1084,1,13251.97
1084,10,13246.71
1084,11,13223.67
1084,12,13252.15
1084,13,13244.84
1084,14,13260.14
1084,15,13298.37
1084,16,13293.07
1084,17,13308.58
1084,18,13311.72
1085,1,13311.72
1085,10,13309.84
1085,11,13189.74
1085,12,13182.3
1085,13,13151.93
1085,14,13155.93
1085,15,13172.44
1085,16,13172.68
1085,17,13190.85
1085,18,13190.84
1086,1,13190.84
1086,18,13190.84
1086,21,13190.84
1087,1,13190.84
1087,18,13190.84
1088,1,13190.84
1088,10,13190.23
1088,11,13152.06
1088,12,13146.82
1088,13,13145.68
1088,14,13136.9
1088,18,13139.08
1089,1,13139.08
1089,18,13139.08
1090,1,13139.08
1090,10,13138.85
1090,11,13161.55
1090,12,13132.06
1090,13,13100.43
1090,14,13104.77
1090,15,13101.75
1090,16,13141.89
1090,17,13115.52
1090,18,13114.59
1091,1,13114.59
1091,10,13114.97
1091,11,13118.32
1091,12,13037.02
1091,13,13024.83
1091,14,12996.45
1091,15,12983.06
1091,16,13046.0
1091,17,13100.42
1091,18,13096.31
1092,1,13096.31
1092,10,13095.08
1092,11,13015.98
1092,12,13042.75
1092,13,13026.56
1092,14,13026.62
1092,15,13017.71
1092,16,12998.98
1092,17,12946.5
1092,18,12938.11
1093,1,12938.11
1093,18,12938.11
1093,21,12938.11
1094,1,12938.11
1094,18,12938.11
1095,1,12938.11
1095,10,12938.46
1095,11,12945.11
1095,12,12927.4
1095,13,12932.07
1095,14,12982.75
1095,15,12982.56
1095,16,13072.36
1095,17,13089.28
1095,18,13104.14
1096,1,13104.14
1096,18,13104.14
1097,1,13104.14
1097,10,13104.3
1097,11,13366.48
1097,12,13345.6
1097,13,13321.76
1097,14,13326.64
1097,15,13329.09
1097,16,13331.83
1097,17,13395.68
1097,18,13412.55
1098,1,13412.55
1098,10,13413.05
1098,11,13381.66
1098,12,13391.18
1098,13,13408.16
1098,14,13419.37
1098,15,13427.51
1098,16,13406.38
1098,17,13377.95
1098,18,13391.36
1099,1,13391.36
1099,10,13391.13
1099,11,13407.46
1099,12,13387.37
1099,13,13408.2
1099,14,13405.08
1099,15,13415.03
1099,16,13419.1
1099,17,13430.26
1099,18,13435.21
1100,1,13435.21
1100,18,13435.21
1100,21,13435.21
1101,1,13435.21
1101,18,13435.21
1102,1,13435.21
1102,10,13436.09
1102,11,13368.06
1102,12,13387.36
1102,13,13357.02
1102,14,13353.78
1102,15,13361.62
1102,16,13381.3
1102,17,13382.62
1102,18,13384.29
1103,1,13384.29
1103,10,13377.32
1103,11,13339.06
1103,12,13320.64
1103,13,13317.28
1103,14,13296.55
1103,15,13316.21
1103,16,13311.48
1103,17,13325.69
1103,18,13328.85
1104,1,13328.85
1104,10,13329.88
1104,11,13399.42
1104,12,13403.2
1104,13,13406.74
1104,14,13383.6
1104,15,13385.53
1104,16,13364.34
1104,17,13390.55
1104,18,13390.51
1105,1,13390.51
1105,10,13391.82
1105,11,13437.86
1105,12,13398.13
1105,13,13410.41
1105,14,13429.08
1105,15,13438.79
1105,16,13456.73
1105,17,13465.52
1105,18,13471.22
1106,1,13471.22
1106,10,13471.45
1106,11,13445.18
1106,12,13464.02
1106,13,13482.65
1106,14,13476.43
1106,15,13462.44
1106,16,13478.13
1106,17,13482.28
1106,18,13488.43
1107,1,13488.43
1107,18,13488.43
1107,21,13488.43
1108,1,13488.43
1108,18,13488.43
1109,1,13488.43
1109,10,13488.43
1109,11,13469.4
1109,12,13487.91
1109,13,13498.27
1109,14,13494.15
1109,15,13495.81
1109,16,13510.42
1109,17,13505.32
1109,18,13507.32
1109,19,13507.32
1110,1,13507.32
1110,10,13507.32
1110,11,13478.62
1110,12,13484.79
1110,13,13491.63
1110,14,13502.67
1110,15,13490.84
1110,16,13518.24
1110,17,13537.14
1110,18,13534.89
1111,1,13534.89
1111,10,13534.89
1111,11,13486.89
1111,12,13491.0
1111,13,13507.47
1111,14,13500.69
1111,15,13511.22
1111,16,13512.57
1111,17,13507.07
1111,18,13511.23
1112,1,13511.23
1112,10,13511.23
1112,11,13556.73
1112,12,13567.15
1112,13,13579.55
1112,14,13600.12
1112,15,13622.83
1112,16,13620.96
1112,17,13605.35
1112,18,13596.02
1113,1,13596.02
1113,10,13596.02
1113,11,13602.81
1113,12,13588.61
1113,13,13578.61
1113,14,13593.57
1113,15,13599.47
1113,16,13608.09
1113,17,13640.32
1113,18,13649.7
1114,1,13649.7
1114,18,13649.7
1114,21,13649.7
1115,1,13649.7
1115,18,13649.7
1116,1,13649.7
1116,18,13649.7
1117,1,13649.7
1117,10,13649.7
1117,11,13657.41
1117,12,13648.36
1117,13,13666.5
1117,14,13679.34
1117,15,13682.79
1117,16,13700.26
1117,17,13705.33
1117,18,13712.21
1118,1,13712.21
1118,10,13712.21
1118,11,13770.56
1118,12,13763.59
1118,13,13769.61
1118,14,13778.66
1118,15,13783.18
1118,16,13790.86
1118,17,13777.72
1118,18,13779.33
1119,1,13779.33
1119,10,13779.33
1119,11,13834.6
1119,12,13858.85
1119,13,13864.99
1119,14,13819.87
1119,15,13805.18
1119,16,13824.74
1119,17,13828.89
1119,18,13825.33
1120,1,13825.33
1120,10,13825.33
1120,11,13876.92
1120,12,13855.54
1120,13,13858.66
1120,14,13872.29
1120,15,13880.96
1120,16,13874.96
1120,17,13885.71
1120,18,13895.98
1121,1,13895.98
1121,18,13895.98
1121,21,13895.98
1122,1,13895.98
1122,18,13895.98
1123,1,13895.98
1123,10,13895.98
1123,11,13893.09
1123,12,13880.98
1123,13,13895.47
1123,14,13885.94
1123,15,13891.81
1123,16,13902.91
1123,17,13885.53
1123,18,13881.93
1124,1,13881.93
1124,10,13881.93
1124,11,13906.97
1124,12,13918.79
1124,13,13938.33
1124,14,13945.72
1124,15,13953.1
1124,16,13948.98
1124,17,13958.6
1124,18,13954.42
1125,1,13954.42
1125,10,13954.42
1125,11,13944.02
1125,12,13940.04
1125,13,13952.4
1125,14,13961.23
1125,15,13943.95
1125,16,13930.6
1125,17,13905.59
1125,18,13910.42
1126,1,13910.42
1126,10,13910.42
1126,11,13935.11
1126,12,13907.37
1126,13,13873.85
1126,14,13893.03
1126,15,13898.43
1126,16,13896.94
1126,17,13872.8
1126,18,13860.58
1127,1,13860.58
1127,10,13860.58
1127,11,13942.55
1127,12,13996.32
1127,13,14000.68
1127,14,13997.1
1127,15,14012.52
1127,16,13999.69
1127,17,14004.92
1127,18,14009.79
1128,1,14009.79
1128,18,14009.79
1128,21,14009.79
1129,1,14009.79
1129,18,14009.79
1130,1,14009.79
1130,10,14009.79
1130,11,13924.31
1130,12,13899.04
1130,13,13880.55
1130,14,13888.51
1130,15,13884.94
1130,16,13915.06
1130,17,13875.24
1130,18,13880.08
1131,1,13880.08
1131,10,13880.08
1131,11,13994.32
1131,12,13999.05
1131,13,13987.7
1131,14,13986.72
1131,15,13998.18
1131,16,14004.24
1131,17,13974.05
1131,18,13979.3
1132,1,13979.3
1132,10,13979.3
1132,11,13947.77
1132,12,13953.15
1132,13,13975.8
1132,14,13976.95
1132,15,13946.25
1132,16,13963.35
1132,17,13983.17
1132,18,13986.52
1133,1,13986.52
1133,10,13986.52
1133,11,13946.19
1133,12,13881.03
1133,13,13859.95
1133,14,13894.54
1133,15,13931.02
1133,16,13942.13
1133,17,13939.39
1133,18,13944.05
1134,1,13944.05
1134,10,13944.05
1134,11,14011.39
1134,12,14001.63
1134,13,13992.48
1134,14,13989.92
1134,15,13992.11
1134,16,13984.29
1134,17,13984.22
1134,18,13992.97
1135,1,13992.97
1135,18,13992.97
1135,21,13992.97
1136,1,13992.97
1136,18,13992.97
1137,1,13992.97
1137,10,13992.97
1137,11,13952.99
1137,12,13969.59
1137,13,13975.64
1137,14,13959.97
1137,15,13960.45
1137,16,13958.67
1137,17,13972.58
1137,18,13971.24
1138,1,13971.24
1138,10,13971.24
1138,11,13982.8
1138,12,13997.74
1138,13,14004.15
1138,14,14021.2
1138,15,14033.72
1138,16,14030.88
1138,17,14019.21
1138,18,14018.7
1139,1,14018.7
1139,10,14018.7
1139,11,14009.09
1139,12,13994.67
1139,13,13962.63
1139,14,13978.67
1139,15,13978.3
1139,16,13952.27
1139,17,13980.56
1139,18,13982.91
1140,1,13982.91
1140,10,13982.91
1140,11,13964.33
1140,12,13983.29
1140,13,13968.11
1140,14,13975.32
1140,15,13969.23
1140,16,13976.8
1140,17,13974.0
1140,18,13973.39
1141,1,13973.39
1141,10,13973.39
1141,11,13989.47
1141,12,13993.87
1141,13,13975.38
1141,14,13966.48
1141,15,13982.83
1141,16,13925.2
1141,17,13968.74
1141,18,13981.76
1142,1,13981.76
1142,18,13981.76
1142,21,13981.76
1143,1,13981.76
1143,18,13981.76
1144,1,13981.76
1144,18,13981.76
1145,1,13981.76
1145,10,13981.76
1145,11,14040.88
1145,12,14024.24
1145,13,14034.94
1145,14,14028.01
1145,15,14028.53
1145,16,14029.41
1145,17,14034.28
1145,18,14035.67
1146,1,14035.67
1146,10,14035.67
1146,11,14024.4
1146,12,14032.93
1146,13,13999.99
1146,14,14024.8
1146,15,14011.81
1146,16,13966.45
1146,17,13931.82
1146,18,13927.54
1147,1,13927.54
1147,10,13927.54
1147,11,13871.25
1147,12,13866.28
1147,13,13871.85
1147,14,13863.2
1147,15,13853.83
1147,16,13874.33
1147,17,13878.4
1147,18,13880.62
1148,1,13880.62
1148,10,13880.62
1148,11,13916.57
1148,12,13934.83
1148,13,13942.37
1148,14,13992.02
1148,15,13984.58
1148,16,13977.55
1148,17,13995.97
1148,18,14000.57
1149,1,14000.57
1149,18,14000.57
1149,21,14000.57
1150,1,14000.57
1150,18,14000.57
1151,1,14000.57
1151,10,14000.57
1151,11,14063.05
1151,12,14001.66
1151,13,13935.22
1151,14,13985.46
1151,15,13917.76
1151,16,13933.42
1151,17,13797.87
1151,18,13784.17
1152,1,13784.17
1152,10,13784.17
1152,11,13892.01
1152,12,13869.01
1152,13,13847.32
1152,14,13884.85
1152,15,13885.35
1152,16,13894.15
1152,17,13904.18
1152,18,13900.13
1153,1,13900.13
1153,10,13900.13
1153,11,13930.06
1153,12,13973.78
1153,13,14001.81
1153,14,14033.03
1153,15,14038.62
1153,16,14077.11
1153,17,14075.34
1153,18,14075.37
1154,1,14075.37
1154,10,14075.37
1154,11,14084.08
1154,12,14069.53
1154,13,14084.15
1154,14,14090.76
1154,15,14128.0
1154,16,14117.84
1154,17,14066.7
1154,18,14054.49
1155,1,14054.49
1155,2,14054.49
1155,10,14054.49
1155,11,13982.6
1155,12,14069.12
1155,13,14042.34
1155,14,14101.11
1155,15,14084.08
1155,16,14078.38
1155,17,14082.47
1155,18,14089.66
1156,1,14089.66
1156,18,14089.66
1156,21,14089.66
1157,1,14089.66
1157,18,14089.66
1158,1,14089.66
1158,10,14089.66
1158,11,14050.93
1158,12,14055.1
1158,13,14073.36
1158,14,14051.56
1158,15,14084.78
1158,16,14121.78
1158,17,14125.43
1158,18,14127.82
1159,1,14127.82
1159,10,14127.82
1159,11,14231.06
1159,12,14276.51
1159,13,14275.35
1159,14,14268.61
1159,15,14263.33
1159,16,14261.67
1159,17,14245.09
1159,18,14253.77
1160,1,14253.77
1160,10,14253.77
1160,11,14311.39
1160,12,14282.27
1160,13,14281.44
1160,14,14285.47
1160,15,14292.86
1160,16,14314.99
1160,17,14295.42
1160,18,14296.24
1161,1,14296.24
1161,10,14296.24
1161,11,14342.92
1161,12,14340.07
1161,13,14342.0
1161,14,14340.86
1161,15,14331.57
1161,16,14329.63
1161,17,14335.76
1161,18,14329.49
1162,1,14329.49
1162,10,14329.49
1162,11,14356.7
1162,12,14359.95
1162,13,14379.04
1162,14,14366.29
1162,15,14379.54
1162,16,14377.41
1162,17,14391.19
1162,18,14397.07
1163,1,14397.07
1163,18,14397.07
1163,21,14397.07
1164,1,14397.07
1164,16,14397.07
1164,18,14397.07
1165,1,14397.07
1165,9,14397.07
1165,10,14394.25
1165,11,14398.65
1165,12,14413.56
1165,13,14430.05
1165,14,14432.27
1165,15,14436.11
1165,16,14446.92
1165,18,14447.29
1166,1,14447.29
1166,9,14447.29
1166,10,14448.88
1166,11,14460.15
1166,12,14450.2
1166,13,14446.1
1166,14,14426.67
1166,15,14429.66
1166,16,14443.71
1166,18,14450.06
1167,1,14450.06
1167,9,14450.06
1167,10,14430.25
1167,11,14435.95
1167,12,14436.43
1167,13,14462.25
1167,14,14467.64
1167,15,14453.8
1167,16,14452.95
1167,18,14455.28
1168,1,14455.28
1168,9,14455.28
1168,10,14521.08
1168,11,14509.82
1168,12,14514.88
1168,13,14517.41
1168,14,14503.32
1168,15,14516.22
1168,16,14531.4
1168,18,14539.14
1169,1,14539.14
1169,3,14539.14
1169,9,14539.14
1169,10,14481.66
1169,11,14496.83
1169,12,14508.2
1169,13,14502.1
1169,14,14500.04
1169,15,14490.14
1169,16,14511.87
1169,18,14514.11
1170,1,14514.11
1170,18,14514.11
1170,21,14514.11
1171,1,14514.11
1171,18,14514.11
1172,1,14514.11
1172,9,14514.11
1172,10,14464.2
1172,11,14474.66
1172,12,14491.55
1172,13,14502.75
1172,14,14485.76
1172,15,14490.33
1172,16,14448.76
1172,18,14452.06
1173,1,14452.06
1173,9,14452.06
1173,10,14507.29
1173,11,14468.03
1173,12,14412.43
1173,13,14409.2
1173,14,14408.64
1173,15,14424.24
1173,16,14456.88
1173,18,14455.82
1174,1,14455.82
1174,9,14455.82
1174,10,14528.34
1174,11,14527.28
1174,12,14510.15
1174,13,14512.04
1174,14,14500.83
1174,15,14526.82
1174,16,14512.42
1174,18,14511.73
1175,1,14511.73
1175,9,14511.73
1175,10,14468.51
1175,11,14440.77
1175,12,14476.47
1175,13,14460.92
1175,14,14417.36
1175,15,14445.56
1175,16,14423.88
1175,18,14421.49
1176,1,14421.49
1176,9,14421.49
1176,10,14477.42
1176,11,14493.08
1176,12,14498.94
1176,13,14498.44
1176,14,14500.47
1176,15,14502.38
1176,16,14504.53
1176,18,14512.03
1177,1,14512.03
1177,18,14512.03
1177,21,14512.03
1178,1,14512.03
1178,18,14512.03
1179,1,14512.03
1179,9,14512.03
1179,10,14556.45
1179,11,14465.42
1179,12,14464.58
1179,13,14420.08
1179,14,14471.62
1179,15,14455.81
1179,16,14455.24
1179,18,14447.75
1180,1,14447.75
1180,9,14447.75
1180,10,14535.52
1180,11,14538.53
1180,12,14539.4
1180,13,14525.54
1180,14,14541.01
1180,15,14539.49
1180,16,14557.96
1180,18,14559.65
1181,1,14559.65
1181,9,14559.65
1181,10,14474.03
1181,11,14504.31
1181,12,14517.58
1181,13,14521.16
1181,14,14522.78
1181,15,14529.76
1181,16,14524.57
1181,18,14526.16
1182,1,14526.16
1182,9,14526.16
1182,10,14544.06
1182,11,14577.48
1182,12,14574.81
1182,13,14559.0
1182,14,14554.63
1182,15,14569.28
1182,16,14575.15
1182,18,14578.54
1183,1,14578.54
1183,18,14578.54
1184,1,14578.54
1184,18,14578.54
1184,21,14578.54
1185,1,14578.54
1185,18,14578.54
1186,1,14578.54
1186,4,14578.54
1186,9,14578.54
1186,10,14590.74
1186,11,14544.68
1186,12,14554.58
1186,13,14565.88
1186,14,14561.7
1186,15,14558.56
1186,16,14568.53
1186,18,14572.85
1187,1,14572.85
1187,9,14572.85
1187,10,14649.37
1187,11,14674.81
1187,12,14668.8
1187,13,14670.98
1187,14,14667.76
1187,15,14648.37
1187,16,14657.5
1187,18,14662.01
1188,1,14662.01
1188,9,14662.01
1188,10,14643.5
1188,11,14612.07
1188,12,14610.4
1188,13,14593.74
1188,14,14554.87
1188,15,14577.16
1188,16,14552.74
1188,18,14550.35
1189,1,14550.35
1189,9,14550.35
1189,10,14605.32
1189,11,14583.67
1189,12,14564.92
1189,13,14562.13
1189,14,14586.67
1189,15,14586.75
1189,16,14608.75
1189,18,14606.11
1190,1,14606.11
1190,9,14606.11
1190,10,14438.75
1190,11,14481.38
1190,12,14488.35
1190,13,14494.88
1190,14,14513.59
1190,15,14527.13
1190,16,14561.6
1190,18,14565.25
1191,1,14565.25
1191,18,14565.25
1191,21,14565.25
1192,1,14565.25
1192,18,14565.25
1193,1,14565.25
1193,8,14565.25
1193,9,14565.25
1193,10,14516.28
1193,11,14529.16
1193,12,14513.14
1193,13,14523.64
1193,14,14558.17
1193,15,14568.55
1193,16,14610.52
1193,18,14613.48
1194,1,14613.48
1194,9,14613.48
1194,10,14602.98
1194,11,14618.34
1194,12,14638.09
1194,13,14664.44
1194,14,14696.36
1194,15,14710.87
1194,16,14671.58
1194,18,14673.46
1195,1,14673.46
1195,9,14673.46
1195,10,14741.4
1195,11,14792.12
1195,12,14799.04
1195,13,14821.07
1195,14,14808.97
1195,15,14815.01
1195,16,14800.41
1195,18,14802.24
1196,1,14802.24
1196,9,14802.24
1196,10,14813.81
1196,11,14863.53
1196,12,14864.95
1196,13,14877.76
1196,14,14856.07
1196,15,14868.85
