Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-02-23,16:00:00,11984.59,11997.93,11974.95,11979.48,5810294,0
2017-02-23,17:00:00,11980.86,11984.33,11945.96,11946.87,9046281,0
2017-02-23,18:00:00,11947.27,11952.29,11928.55,11947.83,21589370,0
2017-02-24,10:00:00,11922.79,11934.64,11908.58,11915.12,12725938,0
2017-02-24,11:00:00,11915.03,11925.55,11899.52,11911.12,7251422,0
2017-02-24,12:00:00,11911.12,11912.82,11825.63,11840.94,9986296,0
2017-02-24,13:00:00,11842.32,11842.37,11747.77,11755.39,9686078,0
2017-02-24,14:00:00,11755.43,11786.61,11735.01,11738.93,9936427,0
2017-02-24,15:00:00,11738.9,11761.63,11729.82,11729.88,9461060,0
2017-02-24,16:00:00,11729.98,11804.08,11722.35,11804.08,9338768,0
2017-02-24,17:00:00,11802.82,11807.49,11762.84,11788.59,8451221,0
2017-02-24,18:00:00,11788.59,11816.18,11786.36,11804.03,24917495,0
2017-02-27,10:00:00,11858.14,11860.82,11806.65,11807.8,10986730,0
2017-02-27,11:00:00,11807.8,11830.44,11804.3,11814.52,5739807,0
2017-02-27,12:00:00,11814.52,11823.41,11802.93,11806.99,4072859,0
2017-02-27,13:00:00,11806.99,11826.89,11803.25,11824.1,3804307,0
2017-02-27,14:00:00,11823.97,11824.13,11807.28,11813.86,3817311,0
2017-02-27,15:00:00,11813.92,11813.92,11792.51,11794.62,4091975,0
2017-02-27,16:00:00,11792.81,11827.62,11792.51,11826.14,4990724,0
2017-02-27,17:00:00,11827.35,11843.88,11810.66,11833.3,7943434,0
2017-02-27,18:00:00,11833.3,11838.69,11822.67,11822.67,19343652,0
2017-02-28,10:00:00,11847.09,11848.81,11820.88,11824.89,8691003,0
2017-02-28,11:00:00,11825.03,11826.18,11795.06,11811.57,5027989,0
2017-02-28,12:00:00,11811.57,11822.52,11801.28,11803.69,3750610,0
2017-02-28,13:00:00,11803.77,11814.62,11803.46,11807.31,3502871,0
2017-02-28,14:00:00,11807.31,11808.86,11780.83,11793.62,3664943,0
2017-02-28,15:00:00,11793.62,11839.74,11790.15,11839.74,3757128,0
2017-02-28,16:00:00,11839.74,11841.53,11825.26,11829.37,3731071,0
2017-02-28,17:00:00,11829.33,11853.5,11817.99,11846.47,5435452,0
2017-02-28,18:00:00,11846.5,11850.46,11834.41,11834.41,26222167,0
2017-03-01,10:00:00,11915.03,11983.61,11913.84,11974.69,18313433,0
2017-03-01,11:00:00,11974.67,11993.69,11971.78,11986.6,12085207,0
2017-03-01,12:00:00,11986.45,12014.01,11986.24,12005.21,7234975,0
2017-03-01,13:00:00,12005.21,12006.42,11982.54,11996.13,8221022,0
2017-03-01,14:00:00,11996.59,12006.04,11993.46,12001.89,6837546,0
2017-03-01,15:00:00,12001.94,12027.52,11996.32,12024.24,6377567,0
2017-03-01,16:00:00,12024.24,12041.44,12015.73,12038.71,8825465,0
2017-03-01,17:00:00,12039.1,12068.93,12032.96,12056.8,12087110,0
2017-03-01,18:00:00,12057,12074.02,12052.77,12067.19,29572292,0
2017-03-02,10:00:00,12050.02,12074.89,12045.61,12055.08,15201733,0
2017-03-02,11:00:00,12055,12059.35,12041.9,12054.69,8208953,0
2017-03-02,12:00:00,12054.44,12075.39,12048.24,12074.85,5736317,0
2017-03-02,13:00:00,12074.82,12074.87,12059.32,12070.2,4139478,0
2017-03-02,14:00:00,12070.4,12077.77,12065.79,12070.84,5602505,0
2017-03-02,15:00:00,12070.84,12082.46,12069.37,12075.62,4485787,0
2017-03-02,16:00:00,12075.65,12079.48,12061.39,12072.23,7889925,0
2017-03-02,17:00:00,12072.72,12073.34,12056.82,12057.32,7442272,0
2017-03-02,18:00:00,12057.32,12060.65,12044.01,12059.57,23393926,0
2017-03-03,10:00:00,11998.06,12024.39,11995.79,12007.11,9894171,0
2017-03-03,11:00:00,12007.16,12015.3,11995.44,11996.11,6046895,0
2017-03-03,12:00:00,11996.15,12044.04,11995.4,12040.21,7313258,0
2017-03-03,13:00:00,12041.83,12058.21,12028.72,12043.36,9216396,0
2017-03-03,14:00:00,12043.38,12047.82,12025.52,12028.8,10590538,0
2017-03-03,15:00:00,12028.72,12039.81,12016.1,12028.68,6353498,0
2017-03-03,16:00:00,12028.68,12038.29,12011.76,12011.76,15897330,0
2017-03-03,17:00:00,12011.35,12020.01,11996.38,12014,11680880,0
2017-03-03,18:00:00,12014,12027.59,12010.86,12027.36,26300132,0
2017-03-06,10:00:00,11952.11,11965.65,11930.29,11939.15,21344724,0
2017-03-06,11:00:00,11939.15,11995.65,11934.6,11995.5,10549593,0
2017-03-06,12:00:00,11995.14,11998.83,11958.99,11967.01,6328782,0
2017-03-06,13:00:00,11967.01,11985.16,11965.4,11983.74,4033435,0
2017-03-06,14:00:00,11983.74,11985.48,11971.45,11984.2,4936056,0
2017-03-06,15:00:00,11983.69,11988.65,11971.74,11973.08,5435475,0
2017-03-06,16:00:00,11972.99,11978.96,11959.2,11965.69,8485177,0
2017-03-06,17:00:00,11962.83,11962.95,11921.57,11935.29,11076475,0
2017-03-06,18:00:00,11935.47,11966.38,11932.47,11958.4,26978034,0
2017-03-07,10:00:00,11963.76,11978.27,11942.65,11975.56,13007491,0
2017-03-07,11:00:00,11975.54,11987.05,11967.89,11972.14,6443113,0
2017-03-07,12:00:00,11972.14,11988.87,11967.64,11967.66,5495204,0
2017-03-07,13:00:00,11967.67,11972.32,11957.47,11964.61,4430409,0
